Time,Delhi,BRPL,BYPL,NDPL,NDMC,MES
01/09/2023 11:30,5914.040,2439.640,1244.320,1775.260,351.710,45.460
01/09/2023 11:35,5903.190,2438.240,1249.380,1758.570,352.530,45.460
01/09/2023 11:40,5922.740,2445.150,1254.840,1769.780,351.990,45.140
01/09/2023 11:45,5917.730,2420.100,1261.260,1781.280,353.800,45.030
01/09/2023 11:50,5912.140,2439.380,1252.940,1762.970,355.500,45.130
01/09/2023 11:55,5921.950,2415.630,1244.320,1797.470,354.650,45.190
01/09/2023 12:00,5976.600,2442.640,1293.110,1784.930,354.020,45.710
01/09/2023 12:05,5963.490,2439.180,1263.410,1806.190,355.070,45.170
01/09/2023 12:10,5951.440,2440.960,1261.650,1790.580,356.420,45.310
01/09/2023 12:15,5997.050,2431.810,1299.990,1805.950,356.340,45.370
01/09/2023 12:20,6012.750,2461.540,1287.690,1804.010,357.080,45.210
01/09/2023 12:25,6014.320,2465.590,1287.340,1804.460,356.880,45.210
01/09/2023 12:30,6023.250,2467.250,1291.690,1797.460,355.630,45.330
01/09/2023 12:35,6012.810,2445.180,1303.160,1807.970,356.210,45.170
01/09/2023 12:40,6031.950,2472.420,1283.930,1814.180,356.170,45.410
01/09/2023 12:45,6042.040,2474.110,1305.670,1803.650,357.110,45.460
01/09/2023 12:50,6015.060,2465.500,1297.150,1804.430,357.220,45.490
01/09/2023 12:55,6035.190,2495.570,1292.920,1788.860,357.360,45.250
01/09/2023 13:00,5928.410,2445.930,1277.880,1746.970,355.840,45.390
01/09/2023 13:05,5854.100,2449.690,1255.700,1694.030,355.270,45.240
01/09/2023 13:10,5800.600,2416.160,1254.480,1674.990,354.260,44.700
01/09/2023 13:15,5852.710,2437.970,1264.390,1695.810,353.900,44.960
01/09/2023 13:20,5859.990,2431.190,1288.300,1686.540,351.690,45.050
01/09/2023 13:25,5883.940,2455.240,1271.750,1702.200,353.980,45.270
01/09/2023 13:30,5911.690,2490.410,1282.270,1687.860,352.320,45.330
01/09/2023 13:35,5988.270,2520.070,1290.390,1724.920,347.980,44.860
01/09/2023 13:40,6016.190,2510.360,1294.220,1761.990,347.480,44.900
01/09/2023 13:45,6059.510,2539.010,1281.520,1785.400,351.600,45.090
01/09/2023 13:50,6068.680,2546.120,1292.940,1777.240,350.150,44.600
01/09/2023 13:55,6073.960,2529.300,1291.150,1805.280,348.410,44.950
01/09/2023 14:00,6144.270,2543.220,1339.690,1809.330,347.520,44.730
01/09/2023 14:05,6172.310,2542.380,1338.400,1835.980,348.970,44.940
01/09/2023 14:10,6204.730,2576.020,1317.210,1857.160,349.620,45.280
01/09/2023 14:15,6285.720,2619.400,1328.350,1883.640,349.360,45.410
01/09/2023 14:20,6326.670,2653.550,1351.500,1869.370,348.370,45.080
01/09/2023 14:25,6382.090,2680.450,1335.750,1905.480,348.890,45.280
01/09/2023 14:30,6427.840,2685.000,1372.980,1929.640,348.820,45.160
01/09/2023 14:35,6478.400,2696.850,1367.000,1954.120,342.350,45.460
01/09/2023 14:40,6499.250,2734.430,1370.030,1941.330,346.020,45.690
01/09/2023 14:45,6500.520,2717.550,1373.110,1950.360,348.450,45.270
01/09/2023 14:50,6518.880,2745.220,1365.650,1946.570,349.160,45.540
01/09/2023 14:55,6595.210,2756.070,1394.810,1985.540,350.740,45.280
01/09/2023 15:00,6658.770,2799.000,1403.880,1993.200,353.110,45.810
01/09/2023 15:05,6687.960,2799.100,1410.800,2015.460,352.880,46.190
01/09/2023 15:10,6727.460,2816.390,1431.910,2012.380,353.460,46.050
01/09/2023 15:15,6648.730,2789.780,1431.670,1966.890,352.210,45.960
01/09/2023 15:20,6683.670,2789.930,1445.770,1986.140,352.380,45.910
01/09/2023 15:25,6686.760,2807.600,1437.350,1986.640,352.310,45.810
01/09/2023 15:30,6683.620,2806.630,1413.940,2000.080,351.930,45.870
01/09/2023 15:35,6726.600,2817.450,1436.170,2008.310,351.430,45.750
01/09/2023 15:40,6686.170,2811.940,1420.750,1993.040,351.360,45.690
01/09/2023 15:45,6709.720,2835.370,1438.440,1975.750,350.710,45.730
01/09/2023 15:50,6626.720,2780.500,1422.160,1968.030,349.350,45.530
01/09/2023 15:55,6602.640,2766.790,1392.580,1985.070,350.730,45.450
01/09/2023 16:00,6609.800,2779.480,1397.380,1976.360,348.740,45.460
01/09/2023 16:05,6648.320,2801.660,1411.420,1976.470,349.040,45.330
01/09/2023 16:10,6584.820,2779.810,1392.530,1957.830,347.190,44.640
01/09/2023 16:15,6591.600,2774.650,1392.590,1969.540,344.910,44.360
01/09/2023 16:20,6502.370,2738.550,1378.510,1944.250,342.710,43.940
01/09/2023 16:25,6505.950,2724.810,1389.040,1940.270,342.020,43.670
01/09/2023 16:30,6505.880,2750.120,1369.410,1942.020,342.550,43.850
01/09/2023 16:35,6513.130,2738.880,1375.480,1954.190,342.720,43.560
01/09/2023 16:40,6480.640,2717.530,1374.290,1944.360,339.210,43.230
01/09/2023 16:45,6452.360,2691.860,1354.050,1950.380,339.040,43.100
01/09/2023 16:50,6463.910,2716.360,1370.710,1935.760,336.900,42.830
01/09/2023 16:55,6396.430,2671.810,1362.920,1926.300,334.760,42.510
01/09/2023 17:00,6286.000,2550.070,1341.810,1952.910,339.230,42.140
01/09/2023 17:05,6257.050,2612.380,1308.480,1899.860,328.630,41.890
01/09/2023 17:10,6341.290,2656.250,1379.280,1878.300,326.680,41.720
01/09/2023 17:15,6250.060,2629.400,1357.040,1838.490,322.340,41.740
01/09/2023 17:20,6245.710,2627.930,1331.710,1865.820,319.560,41.320
01/09/2023 17:25,6231.400,2610.800,1351.490,1846.720,316.850,40.550
01/09/2023 17:30,6169.120,2580.800,1332.290,1848.470,312.840,40.280
