Time,Delhi,BRPL,BYPL,NDPL,NDMC,MES
2023-12-21,3138.7311397058825,1303.7894117647058,600.8328676470588,1018.7430147058823,153.84676470588235,31.006470588235295
2023-12-22,3185.995505226481,1303.7164111498257,640.9709407665505,1027.817386759582,151.5850174216028,31.102229965156795
2023-12-23,3025.665661764706,1262.343125,646.6240073529412,924.6279044117647,133.52683823529412,28.504264705882353
2023-12-24,2898.6484981684985,1211.26673992674,576.0621245421245,936.3421245421246,120.269010989011,26.486996336996338
2023-12-25,2991.384742647059,1251.4960294117645,568.4664338235294,995.9641544117648,120.42742647058823,26.255698529411767
2023-12-26,3139.026205673759,1282.6270567375886,605.7782269503546,1045.9818439716312,144.63397163120567,29.445531914893614
2023-12-27,3209.811378091873,1354.6041696113073,610.7934275618375,1032.1093286219082,150.12611307420497,31.160459363957596
2023-12-28,3184.4303859649126,1563.2779298245614,830.1947719298245,585.7505614035088,142.81010526315788,32.199894736842104
2023-12-29,3331.466561403509,1425.0561052631579,652.0315438596491,1091.3529122807017,98.03736842105263,33.08863157894737
2023-12-30,3154.7806859205775,1367.8796750902527,627.7398555956679,977.9995667870036,120.87790613718411,30.17350180505415
2023-12-31,3121.828248175182,1316.2318613138686,635.5161313868614,976.7552189781022,132.95208029197082,30.035401459854018
2024-01-01,3781.892261484099,1588.9937102473498,741.7780918727916,1199.3723321554771,175.02056537102473,40.30155477031802
2024-01-02,3680.8956583629897,1557.4857651245552,706.7129893238434,1167.0228113879002,174.32601423487546,40.11362989323843
2024-01-03,3544.593854166667,1492.5457638888888,677.7765625,1124.4380902777777,178.84329861111112,37.09260416666667
2024-01-04,3680.8956583629897,1557.4857651245552,706.7129893238434,1167.0228113879002,174.32601423487546,40.11362989323843
2024-01-05,3781.892261484099,1588.9937102473498,741.7780918727916,1199.3723321554771,175.02056537102473,40.30155477031802
2024-01-06,3708.1690425531915,1591.9645035460992,708.2726241134752,1155.954539007092,175.9445390070922,40.3499645390071
2024-01-07,3405.6479505300354,1443.835371024735,686.3540636042403,1070.7596113074203,137.51802120141343,34.44236749116608
2024-01-08,3708.1690425531915,1591.9645035460992,708.2726241134752,1155.954539007092,175.9445390070922,40.3499645390071
2024-01-09,3811.0855633802817,1628.0075704225353,717.0631690140846,1205.9111971830987,182.21612676056338,41.84183098591549
2024-01-10,3908.2302941176467,1631.7686397058824,776.1107352941176,1236.9195220588235,184.515625,41.91536764705882
2024-01-11,3871.173074074074,1637.791962962963,759.4961111111112,1215.5664074074073,180.12099999999998,41.70477777777778
2024-01-12,3995.8271062271065,1705.0628205128205,768.2560073260074,1261.136813186813,181.6887912087912,41.74996336996337
2024-01-13,3662.6030402930405,1617.2413553113554,713.2082783882784,1102.730695970696,155.41391941391942,38.65626373626374
2024-01-14,3599.0952941176474,1569.2209926470587,709.9275735294117,1105.2888602941177,143.3410294117647,37.2608455882353
2024-01-15,3787.5979411764706,1635.356507352941,717.6984926470587,1179.648419117647,177.86680147058823,41.423051470588234
2024-01-16,3873.3444852941175,1670.0083088235294,720.5770588235293,1217.040955882353,186.27073529411766,42.303786764705876
2024-01-17,3863.0215625,1666.4317361111111,742.5587847222222,1192.935798611111,183.09013888888887,41.53131944444445
